Id,IdEntidade,IdPosto
7BA9B98B-B971-426F-914B-E59DC3659635,241B2E12-28F0-4A9D-8A2B-26914F91797B,FA6A4633-B6CD-4533-A8B9-E40E20325562
9A72B9A3-F9CB-4EB3-9CA6-226C710BA296,241B2E12-28F0-4A9D-8A2B-26914F91797B,6604EF36-5513-445C-86CF-A6F7C15CD5DE
28221857-52D6-4A5F-81D4-10DF6BF57160,241B2E12-28F0-4A9D-8A2B-26914F91797B,5CD12206-6AE1-4F13-AE76-F92BD1657203
2BECCF6B-AB57-4044-9C4E-ABAC011E2BCA,C072FD39-91DA-4F30-B329-ABAC011D7215,5CD12206-6AE1-4F13-AE76-F92BD1657203
6C7AB493-0B63-49A7-8F5A-B013007FCEE9,D48ADD40-476C-4B8B-96B7-B013007E9E83,FA6A4633-B6CD-4533-A8B9-E40E20325562
972A3F0E-A571-47A7-95CE-ABAD01268F08,45115D2C-F379-4A35-A5E0-ABAD012675B8,5CD12206-6AE1-4F13-AE76-F92BD1657203
C2580984-E34B-48F8-95DB-ABAD0127729F,C4A57E81-1AC8-424D-8117-ABAD01275598,5CD12206-6AE1-4F13-AE76-F92BD1657203
ED03A66F-7FA6-41AC-A7AD-ABAD0128E0E0,C10FC5C4-08E0-4466-966F-ABAD0128BCE9,5CD12206-6AE1-4F13-AE76-F92BD1657203
23935B90-D312-45A5-801E-ABAD01299705,C455F3DB-8AA2-4317-A8AB-ABAD0129729D,5CD12206-6AE1-4F13-AE76-F92BD1657203
86B11AB6-35C6-45C4-9606-ABAD012B0E42,47B2D043-BDFF-415D-AE84-ABAD012AF7EF,5CD12206-6AE1-4F13-AE76-F92BD1657203
6C0FB5D8-E74A-4D42-B116-AFAA00FB1666,F1B35480-F2E7-4A69-89F7-AFAA00FAFBD9,6604EF36-5513-445C-86CF-A6F7C15CD5DE
2C433DE5-0802-4715-8969-AF8F00FC3710,559BD602-17CB-4A90-AE10-AD9601199671,5CD12206-6AE1-4F13-AE76-F92BD1657203
AEB59FDC-77CE-4858-B5BB-AF8F0101640C,A9300341-C9C1-4763-B719-ABAD01246A69,5CD12206-6AE1-4F13-AE76-F92BD1657203
F128D881-BD91-429D-BD2B-AF8F006B3F46,C91947D2-998C-4792-BEDA-ABCE007819B6,FA6A4633-B6CD-4533-A8B9-E40E20325562
34D1ED34-02BE-4A42-969F-AF93007A066E,4E60D871-20E4-4CF4-A577-AEAC00A4DCEB,6604EF36-5513-445C-86CF-A6F7C15CD5DE
64F8EDF8-03DB-43D2-8AE3-ABDB01181C00,C072FD39-91DA-4F30-B329-ABAC011D7215,FA6A4633-B6CD-4533-A8B9-E40E20325562
6E9261B7-21AD-4D4D-8FB2-ABDB01181C0F,C072FD39-91DA-4F30-B329-ABAC011D7215,6604EF36-5513-445C-86CF-A6F7C15CD5DE
8DAB0FA7-8E12-4F47-BC5B-AFF600BF3FE1,1D93E813-C1BE-46A9-9A58-ABEA008F6563,FA6A4633-B6CD-4533-A8B9-E40E20325562
69A43DC1-6824-45A4-A6FC-B1400091FDD3,DC3FB738-52EC-4CCF-B783-B13A00D74185,6604EF36-5513-445C-86CF-A6F7C15CD5DE
BAA46F87-89E0-4D59-A4C6-ABEA0111BCED,D2F321CD-5695-49C0-B936-ABEA008FEE39,6604EF36-5513-445C-86CF-A6F7C15CD5DE
46CBAACA-DB10-4E38-B9D4-B12600F5351E,23B0747C-5313-4677-A36B-B125014274EC,11611EE2-E370-4B20-AE0D-E4912226FC97
4A25FF04-86AA-4133-950D-B12900DB5A1B,219BF4A6-114D-4AE3-BB8C-AD4100B38A42,FA6A4633-B6CD-4533-A8B9-E40E20325562
A3A071C2-30DE-4324-A2EE-AF93007A0673,4E60D871-20E4-4CF4-A577-AEAC00A4DCEB,5CD12206-6AE1-4F13-AE76-F92BD1657203
E35D1AB9-8F33-4ED7-B6D8-ABEA011A0B96,8B418866-7FA3-465F-BE9C-ABEA00927EB6,6604EF36-5513-445C-86CF-A6F7C15CD5DE
AA4FE978-4ABF-4D28-B67B-ABEA011ADC43,77056833-09DB-4A1D-A658-ABEA009340D6,6604EF36-5513-445C-86CF-A6F7C15CD5DE
AA2A01B8-6534-4C67-8FE4-AF93007A0660,4E60D871-20E4-4CF4-A577-AEAC00A4DCEB,FA6A4633-B6CD-4533-A8B9-E40E20325562
