Estoque,PrecoCusto,PrecoVenda,Almoxarifado,ValidacaoEstoque,Data,ValidacaoEstoqueFimdia,EstoqueFimDia,Atualizado,Id,IdPosto,IdProduto,IdEcf,IdLocal
0,0,00,0,00,0,0,NULL,NULL,0,1,5EE9BFD9-430D-42F1-AF0E-ABDD011EA71C,FA6A4633-B6CD-4533-A8B9-E40E20325562,D1D7D29A-00DD-40FD-8769-ABDD011EA70B
0,0,00,0,00,0,0,NULL,NULL,0,1,EEBCA788-5E97-44F3-B52F-ABDD011EA725,6604EF36-5513-445C-86CF-A6F7C15CD5DE,D1D7D29A-00DD-40FD-8769-ABDD011EA70B
0,0,00,0,00,0,0,NULL,NULL,0,1,D037F22D-8973-4810-9E8A-ABDD011EA72E,5CD12206-6AE1-4F13-AE76-F92BD1657203,D1D7D29A-00DD-40FD-8769-ABDD011EA70B
0,0,00,0,00,0,0,NULL,NULL,0,1,11A24CC0-F3E9-4250-AB76-ABDD011FC314,FA6A4633-B6CD-4533-A8B9-E40E20325562,13FFC4ED-A115-4ED3-80ED-ABDD011FC303
0,0,00,0,00,0,0,NULL,NULL,0,1,F52F175D-47A9-4C91-A5C0-ABDD011FC31C,6604EF36-5513-445C-86CF-A6F7C15CD5DE,13FFC4ED-A115-4ED3-80ED-ABDD011FC303
0,0,00,0,00,0,0,NULL,NULL,0,1,5E29CA12-0D59-42AB-971E-ABDD011FC327,5CD12206-6AE1-4F13-AE76-F92BD1657203,13FFC4ED-A115-4ED3-80ED-ABDD011FC303
0,0,00,0,00,0,0,NULL,NULL,0,1,B4D01B30-26A6-470C-942C-ABFB010840E2,FA6A4633-B6CD-4533-A8B9-E40E20325562,02F84B28-5E05-4757-BECB-ABFB010840BF
3418,159,1,38,2,49,2100,0,NULL,NULL,0,1,CFBFCA8A-4842-4F4F-8478-ABFB010840E9,6604EF36-5513-445C-86CF-A6F7C15CD5DE
0,0,00,0,00,0,0,NULL,NULL,0,1,AD60DF6D-C57D-4A22-BC6A-ABFB010840EF,5CD12206-6AE1-4F13-AE76-F92BD1657203,02F84B28-5E05-4757-BECB-ABFB010840BF
0,0,00,0,00,0,0,NULL,NULL,0,1,F5C66ACB-0365-4CDB-AA7E-ABFB010935FB,FA6A4633-B6CD-4533-A8B9-E40E20325562,5DCAB0D7-B4CB-411A-85E9-ABFB010935F0
0,2,0266,2,49,0,0,NULL,NULL,0,1,E9C9A6D2-88DD-4701-8E54-ABFB01093601,6604EF36-5513-445C-86CF-A6F7C15CD5DE,5DCAB0D7-B4CB-411A-85E9-ABFB010935F0
0,0,00,0,00,0,0,NULL,NULL,0,1,D51392F4-7BFE-48E2-B0C1-ABFB01093607,5CD12206-6AE1-4F13-AE76-F92BD1657203,5DCAB0D7-B4CB-411A-85E9-ABFB010935F0
0,0,00,0,00,0,0,NULL,NULL,0,1,4DBC513B-15F0-4D21-9557-ABFB010B6B68,FA6A4633-B6CD-4533-A8B9-E40E20325562,173A6F82-8E25-47FE-882B-ABFB010B6B5F
0,0,00,0,00,0,0,NULL,NULL,0,1,E729F8FD-E46F-47BD-8B7D-ABFB010C8125,FA6A4633-B6CD-4533-A8B9-E40E20325562,5E8E84E4-A859-45F8-94B5-ABFB010C811D
0,0,00,0,00,0,0,NULL,NULL,0,1,52D66E6A-C7F8-46BD-907E-ABFB010C812B,6604EF36-5513-445C-86CF-A6F7C15CD5DE,5E8E84E4-A859-45F8-94B5-ABFB010C811D
0,0,00,0,00,0,0,NULL,NULL,0,1,1F0A4A40-7CBC-4A2B-B6A4-ABFB010C8130,5CD12206-6AE1-4F13-AE76-F92BD1657203,5E8E84E4-A859-45F8-94B5-ABFB010C811D
0,0,00,0,00,0,0,NULL,NULL,0,1,90E7C53F-8C0A-4C80-AA10-ABFB010D6ECB,FA6A4633-B6CD-4533-A8B9-E40E20325562,BA1078DE-1913-4BD0-A9E6-ABFB010D6EC2
0,1,39,1,99,0,0,NULL,NULL,0,1,888CA104-474A-4BE2-8F07-ABFB010D6ED1,6604EF36-5513-445C-86CF-A6F7C15CD5DE,BA1078DE-1913-4BD0-A9E6-ABFB010D6EC2
0,0,00,0,00,0,0,NULL,NULL,0,1,B4AC3DEA-9AA7-472B-AFCB-ABFB010D6ED7,5CD12206-6AE1-4F13-AE76-F92BD1657203,BA1078DE-1913-4BD0-A9E6-ABFB010D6EC2
0,0,00,0,00,0,0,NULL,NULL,0,1,144B96CA-D5F2-4262-BADC-ABFB010DEB97,FA6A4633-B6CD-4533-A8B9-E40E20325562,FABC67FE-9898-4418-A195-ABFB010DEB8F
,,,,,,,,,,,,,
(50 rows affected),,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Completion time: 2024-05-22T10:10:15.0208421-03:00,,,,,,,,,,,,,
