Id,IdEntidade,Idproduto,CodigoProdutoFornecedor,IdPosto
C3C87D6E-6B57-47F7-A70B-A36401025557,BEF292BE-270B-4B80-94BB-7E172FA40EED,2B837CE2-FD75-4F41-9D8C-1E0AA9E62EEB,0007977,,
E08F19FF-0B7E-4443-9FED-A3640102555E,BEF292BE-270B-4B80-94BB-7E172FA40EED,FEBF9401-F44E-4728-B0DA-799450F35144,0000503,,
64C9C0AB-57C5-4701-BDC1-A36401101D60,67ECE4E3-EE3E-4294-B5DB-267B8EBB5171,972C1980-0DB1-4ADA-A3ED-89FA322A0512,41333,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
7B0E6EB3-7EE7-4DA4-A179-A36401101D7D,67ECE4E3-EE3E-4294-B5DB-267B8EBB5171,DEEA865A-5439-40D2-B904-8A99AA2752D1,41341,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
9662FF43-B0A0-452C-88C2-A36401101DA0,67ECE4E3-EE3E-4294-B5DB-267B8EBB5171,B62C1569-F048-468D-A8ED-8F1E5B4A0DDA,44451,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
2AB15D5F-30D0-4602-86DF-A36401101DA7,67ECE4E3-EE3E-4294-B5DB-267B8EBB5171,3F7E8541-DD3D-4ACA-A333-5DBD108B48DE,43610,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
63ECD5A7-4090-4F76-8069-A36401101DB4,67ECE4E3-EE3E-4294-B5DB-267B8EBB5171,8BDC5200-16B9-4823-9475-3C408849350B,21300,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
784DA445-5F99-4C76-ABF0-A36401101DC1,67ECE4E3-EE3E-4294-B5DB-267B8EBB5171,7760C34D-D6D1-4A33-9066-885CD5D87A4B,29500,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
6C5A35C9-BBF6-4C80-A3CA-A36401101DC8,67ECE4E3-EE3E-4294-B5DB-267B8EBB5171,B1D8D22D-EC4E-410D-AB24-C5FA53E9772D,30000,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
95E32687-49EC-4D2B-8A68-A364011D0C1D,BB33A748-9787-43FA-BE5A-946ED04ADF4A,E2D7C408-BAFE-41FD-A5CF-EC236BC44655,030596006,,
1E8EA81C-4123-421E-BAF5-A36600BEC4BB,DB20042A-F89A-4411-90BC-7CC170311EAA,AF67216A-B417-4CDF-8A61-212C99ECC472,500738,,
BE2D3965-D229-40BC-893E-A36600BEC4C2,DB20042A-F89A-4411-90BC-7CC170311EAA,232ED2F4-57B5-48E1-B704-2DA46C812F91,345175,,
D6BE23E3-DC32-4F35-A8AD-A36600BEC4CE,DB20042A-F89A-4411-90BC-7CC170311EAA,79A94175-A36E-4805-9437-AC825912EBC5,344003,,
1512CDEA-C4A4-498D-8768-A36600C281D9,B061FCD3-6DF9-404B-B403-371E78D163F0,5F78BFEA-4B87-4F16-BCFA-77F2E620872E,000958,,
A60934A5-C400-43D2-91BB-A36600C281DF,B061FCD3-6DF9-404B-B403-371E78D163F0,CF52567A-C8FD-4817-996D-C45C137ECB5F,000959,,
A2C0E092-F3C9-4E28-AEFF-A36600C281E6,B061FCD3-6DF9-404B-B403-371E78D163F0,0483DAE9-B3D3-4383-B527-ABD2547C6B2F,000960,,
9C9B4CD4-410B-42CF-A456-A36600C281EC,B061FCD3-6DF9-404B-B403-371E78D163F0,1D995717-0BCA-4780-809E-1A2778F0847B,000961,,
83240A4A-B99C-47DF-AF24-A36600C281F3,B061FCD3-6DF9-404B-B403-371E78D163F0,29E4B0AD-B78B-4A61-8218-B75C9820BE53,000962,,
4932BBFA-BE33-4F8B-9BCE-A36600C4FEBC,DB20042A-F89A-4411-90BC-7CC170311EAA,7019E092-42C8-4791-9D43-A36600C00ACB,834445,,
90CF3BC3-8886-471F-889D-A36600D8A838,D0F89618-D3C2-4A2C-A1C5-2264C6F6A38F,532D87D1-7FF2-405A-9B03-5696D4B78FE9,000421,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
8130BA0D-999C-45C5-ABB9-A36800AA6A8A,B4045B21-764C-4279-AE74-A36800A92080,3F03FA11-F9E8-481F-B2C1-3152C8A6B4C6,01,,
1D13D826-B315-4BF8-9716-A36800AA6A91,B4045B21-764C-4279-AE74-A36800A92080,E6AFC2BB-059C-4FFD-9516-82CF231E7E22,02,,
D3C555B7-C234-4440-A47E-A36800AA6A97,B4045B21-764C-4279-AE74-A36800A92080,DA1E5A93-2AA1-455C-A79C-0E177953E2D9,03,,
239BD36C-D88A-4A66-91CB-A36900CA2978,B961D231-C052-4FE0-8278-880ACA7CF0A5,BE2F7FC5-B572-4D21-8628-F1763C4CBED6,102001002001909,,
99C501BE-D261-4009-A245-A36A0089BFB0,B961D231-C052-4FE0-8278-880ACA7CF0A5,29C0A38C-00A1-4B9F-8C70-A7C20DCC6F54,102002003000002,,
EEBDE8AC-F1A7-414C-BB6C-A36B00E98D13,BEF292BE-270B-4B80-94BB-7E172FA40EED,7A01411A-BDC8-497B-9219-6323C202690C,0009068,,
B932A35C-01F5-44E4-9B28-A36B00E98D2B,BEF292BE-270B-4B80-94BB-7E172FA40EED,FC53136F-BF74-4D52-8CD6-5297F882C626,0007982,,
781D9C2C-0486-42B9-B82E-A36B00E98D36,BEF292BE-270B-4B80-94BB-7E172FA40EED,ADD3F48D-BFFA-4B10-8246-356C4D81C911,0002008,,
53330151-87D1-4DE2-B978-A36C00C9CE2D,5819D25F-5F5F-461F-A9B3-1FD0DEB788D9,037981EC-C12A-4457-B5DF-F4BC0B99BFE9,801,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
1E5567C0-FCC2-4347-9189-A36C01125F8D,8A0941EB-5C2C-468A-A8E7-B5FFBD2CD6DC,F52B2133-B377-4535-87AF-BDE31B59C010,000626,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
956B91D6-8487-4E9B-A939-A36C01125F95,8A0941EB-5C2C-468A-A8E7-B5FFBD2CD6DC,889643E0-6F06-4D17-88E7-2F35B83DAC79,004600,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
