Id,DataPagamento,TipoRecebimento,ClienteId,ValorTotal,DataVencimento,SaldoVencimento,DataFechamento,PostoId
DDA95C52-291A-429E-BF92-AD2400FC253E,2021-05-10 00:00:00.000,Financeiro,D281C2D1-D58F-4DA9-B86C-ABEA0133FDDA,631,01,NULL,-631,NULL
256BE6B5-AE7D-4E4A-B486-AD250099CFB3,2021-05-11 00:00:00.000,Financeiro,68D32D93-E8DD-4D51-99FF-ABEC009A6406,1465,09,NULL,-1804,65
81A357ED-2D2A-4849-A2D7-AD2700B19852,2021-05-13 00:00:00.000,Financeiro,AE8FFD68-A9BD-4B56-9E65-ABEA013340E8,1246,29,NULL,-1305,85
3358FF44-2EB7-4370-99C9-AD2700BD62AA,2021-05-13 00:00:00.000,Financeiro,033A17EA-4A67-490C-865B-ABEA012635D0,3480,76,NULL,-6067,12
6BF6921F-834C-4401-A2A4-AD2700FB76B8,2021-05-13 00:00:00.000,Financeiro,B3FAA3C3-14FE-4593-A833-ABEA012EDEBA,18723,47,NULL,-29620,92
427539A1-3890-4942-91C9-AD2D00F72675,2021-05-19 00:00:00.000,Financeiro,E301EFE6-6EEC-4B19-AF33-ABEB01071D27,1060,05,NULL,-1810,04
371031A9-49B3-4466-89B1-AD2D00F7753C,2021-05-19 00:00:00.000,Financeiro,033A17EA-4A67-490C-865B-ABEA012635D0,3668,61,NULL,-4527,64999
47F636B9-47EE-4E53-9023-AD2E01022A58,2021-05-20 00:00:00.000,Financeiro,870CA34A-C6B0-4CC8-A309-ABEA0135DCF1,991,21,NULL,-2739,97
F4509D67-061D-446F-B3C6-AD3400F4EA0D,2021-05-26 00:00:00.000,Financeiro,B3FAA3C3-14FE-4593-A833-ABEA012EDEBA,13749,68,NULL,-27019,07
9A9DA094-175C-4477-A257-AD4400A4DE1F,2021-06-11 00:00:00.000,Financeiro,68D32D93-E8DD-4D51-99FF-ABEC009A6406,1438,99,NULL,-1289,57
3E4B2700-BE9A-46C0-8627-AD4400FD874F,2021-06-11 00:00:00.000,Financeiro,B3FAA3C3-14FE-4593-A833-ABEA012EDEBA,14978,29,NULL,-28008,80999
4D3EE231-C769-468F-B2A9-AD4800B008AB,2021-06-15 00:00:00.000,Financeiro,033A17EA-4A67-490C-865B-ABEA012635D0,4911,45,NULL,-9087,2
D4924784-A313-4AEA-B738-AD4900C4897B,2021-06-16 00:00:00.000,Financeiro,F0A46332-3122-4935-BCB9-ABAF00E8007D,11085,48,NULL,-17470,88
12D29C62-4BD5-46C0-9C23-AD4E010EC0FC,2021-06-21 00:00:00.000,Financeiro,870CA34A-C6B0-4CC8-A309-ABEA0135DCF1,2656,85,NULL,-3604,15
0445CC82-5D67-4ACB-90CD-AD4F00A93A9E,2021-06-22 00:00:00.000,Financeiro,E301EFE6-6EEC-4B19-AF33-ABEB01071D27,1742,2,NULL,-3737,43
2EDE90AD-461E-4382-9AAE-AD4F010366C0,2021-06-22 00:00:00.000,Financeiro,F0A46332-3122-4935-BCB9-ABAF00E8007D,6918,24,NULL,-9994,16
,,,,,,,,
(50 rows affected),,,,,,,,
,,,,,,,,
,,,,,,,,
Completion time: 2024-05-22T10:06:41.5545971-03:00,,,,,,,,
