PrecoEspecial,Diferenca,Fixo,Id,IdEntidade,IdProduto,IdServico
2,50,0,51,1,0E676EDC-C2DD-42A2-84AF-6F3B2DF1346D,4E08B51E-A266-4696-9DEC-0D0D4A18AD8D
3,69,0,3,0,8313C844-C0A0-49F7-9E21-7E0CF47B21DD,8275CFB7-2470-4D9B-B8FC-B2ECD660EFE9
2,16,0,49,0,2D4647EE-E3C4-4004-83F3-78AAE0DEB943,BD713960-8FA1-4D38-A51C-56CBEA6D2DF6
2,47,0,29,0,C890C421-56C2-4B6A-B57A-AF142526B54F,CBF542FB-D170-4C32-BEE2-FB8DDE665361
2,479,0,2,0,30C96553-D89B-4502-BD07-BBDF0D549293,CC8E292E-99B1-40FA-925B-105677F04C8E
2,489,0,1,0,DB454419-EC2C-4517-A647-14DFA35651C2,3F7EBD37-2FBF-4DEE-B202-E8E7BB8CB563
2,45,0,49,0,65C7BF27-7AB8-482B-84C5-8259D9CE5A66,19B36922-E9E4-4AE7-AC5E-41DA917038B0
3,869,0,3,0,DD74E9EA-EA65-45DD-9839-1F33DB38DAB9,EF8C54CB-BEDD-44BE-BFC1-A55B00AB6AD7
3,24,0,25,0,49D1915D-8BD1-4552-9099-9C05A05207BC,190513E4-1D99-4B4C-B528-982CDCC46A1F
3,125,0,26,0,1357300F-CD15-4B05-A9E7-482398365071,190513E4-1D99-4B4C-B528-982CDCC46A1F
3,188,0,298,0,BA26CAD0-2DFA-4005-A090-BED065A39A87,88082214-0163-4371-A504-A371010953AD
3,769,0,3,0,425FE356-5966-42AF-AC3E-6A76FB23E584,EF8C54CB-BEDD-44BE-BFC1-A55B00AB6AD7
3,69,0,3,0,584DE051-AE45-4F24-B8F3-0ADDD5B90263,EF8C54CB-BEDD-44BE-BFC1-A55B00AB6AD7
0,0,0,10,0,7C07B4D3-6BEA-44D0-BC5A-AE9E0146E22D,CA1E7732-D857-4D8B-AB1A-AC1A01174863
2,5745,0,255,0,13DCD814-54C4-42E0-9534-9126232DCF5A,88082214-0163-4371-A504-A371010953AD
2,1199,0,209,0,D382E58F-018A-4D28-933C-65D55B8C9280,88082214-0163-4371-A504-A371010953AD
0,0,0,39,0,0A74AF69-2DA8-49A3-98E3-A6E3010A9698,72967AE6-B32B-451F-8699-A39400B3D6D5
2,989,0,1,0,A60C3E1B-483B-4A62-867B-CA541AD87EEE,3E56954C-F0C9-44F9-B846-4F55CA5AFF6F
2,969,0,3,0,7A959296-04B4-44C2-A309-AF8F437FBEAB,EF8C54CB-BEDD-44BE-BFC1-A55B00AB6AD7
