Id,Nome,Bandeira,Taxa,Modalidade,Prazo,OperadoraId,Ativo,DataCriacao,DataAlteracao,DataExclusao,Configurada
40140E93-B8B7-490C-B085-ADD500DE9FC2,Hiper Débito,Hiper,1.99,Debito,1,1D115912-CC34-43E1-A258-ADD500C27447,0,2021-11-03 13:30:32.000,2021-11-03 13:30:32.000,2021-11-03 13:30:32.000,1
AC05ECC7-C25C-4E43-B0B0-ADD500DE9FC2,Hipercard,Hipercard,3.49,Credito,31,1D115912-CC34-43E1-A258-ADD500C27447,0,2021-11-03 13:30:32.000,2021-11-03 13:30:32.000,2021-11-03 13:30:32.000,1
1FF8ADC6-9472-484F-B44B-ADD500DE9FC2,Cabal Crédito,Cabal,3.49,Credito,31,1D115912-CC34-43E1-A258-ADD500C27447,0,2021-11-03 13:30:32.000,2021-11-03 13:30:32.000,2021-11-03 13:30:32.000,1
8D825400-D15C-4C83-B556-ADD500DE9FC2,American Express,Amercian Express,3.49,Credito,31,1D115912-CC34-43E1-A258-ADD500C27447,0,2021-11-03 13:30:32.000,2021-11-03 13:30:32.000,2021-11-03 13:30:32.000,1
430CD0CA-D2AD-448E-B618-ADD500DE9FC2,Union Pay,Union Pay,3.49,Credito,31,1D115912-CC34-43E1-A258-ADD500C27447,0,2021-11-03 13:30:32.000,2021-11-03 13:30:32.000,2021-11-03 13:30:32.000,1
0A383130-F776-45A3-B636-ADD500DE9FC2,Elo crédito,Elo,3.49,Credito,31,1D115912-CC34-43E1-A258-ADD500C27447,0,2021-11-03 13:30:32.000,2021-11-03 13:30:32.000,2021-11-03 13:30:32.000,1
E82BFF86-4A4B-431C-BEDA-ADD500DE9FC2,Visa Crédito,Visa,3.49,Credito,31,1D115912-CC34-43E1-A258-ADD500C27447,0,2021-11-03 13:30:32.000,2021-11-03 13:30:32.000,2021-11-03 13:30:32.000,1
F0070055-8A5D-48F4-BFB0-ADD500DE9FC2,Master Crédito,Mastercard,3.49,Credito,31,1D115912-CC34-43E1-A258-ADD500C27447,0,2021-11-03 13:30:32.000,2021-11-03 13:30:32.000,2021-11-03 13:30:32.000,1
5FBE5EA9-FF7E-4355-B3C3-ADD500E7B089,,MASTERCARD DEBITO,0.00,Debito,1,84E6A23E-060E-4AAD-8DC7-ADD500C27434,1,2021-11-03 14:03:33.000,2021-11-03 14:03:33.000,2021-11-03 14:03:33.000,0
A4256992-CC1C-490D-8BA9-ADD500F2556B,,VISA ELECTRON,0.00,Debito,1,84E6A23E-060E-4AAD-8DC7-ADD500C27434,1,2021-11-03 14:42:18.000,2021-11-03 14:42:18.000,2021-11-03 14:42:18.000,0
BC910110-2175-4E70-80FB-AE98008F4A2B,Diners Crédito,Diners,3.19,Credito,1,12C6DCB9-A672-4508-92A1-AE98008F4A2B,0,2022-05-17 08:41:42.000,2022-05-17 08:41:42.000,2023-05-03 20:59:05.000,1
E867439D-E808-495A-8E95-AE98008F4A2B,MASTERCARD,MASTERCARD,0.00,Credito,30,12C6DCB9-A672-4508-92A1-AE98008F4A2B,0,2022-05-17 08:41:42.000,2022-05-17 08:41:42.000,2023-05-03 20:59:05.000,1
A0372388-3EF0-40C1-8EBF-AE98008F4A2B,Master Débito,Master,0.75,Debito,1,12C6DCB9-A672-4508-92A1-AE98008F4A2B,0,2022-05-17 08:41:42.000,2022-05-17 08:41:42.000,2023-05-03 20:59:05.000,1
EDE0FC89-DAA6-4534-9416-AE98008F4A2B,Hipercard débito,Hipercad,1.99,Debito,1,12C6DCB9-A672-4508-92A1-AE98008F4A2B,0,2022-05-17 08:41:42.000,2022-05-17 08:41:42.000,2023-05-03 20:59:05.000,1
86B5AD9E-6C8D-4DFB-9A5E-AE98008F4A2B,Cabal crédito,Cabal,2.89,Credito,1,12C6DCB9-A672-4508-92A1-AE98008F4A2B,0,2022-05-17 08:41:42.000,2022-05-17 08:41:42.000,2023-05-03 20:59:05.000,1
E30E692F-1823-4B6E-9B08-AE98008F4A2B,Hipercard crédito,Hipercad,2.89,Credito,1,12C6DCB9-A672-4508-92A1-AE98008F4A2B,0,2022-05-17 08:41:42.000,2022-05-17 08:41:42.000,2023-05-03 20:59:05.000,1
6D9CE4A8-ACA4-40F3-9BF8-AE98008F4A2B,MAESTRO,MAESTRO,0.00,Debito,1,12C6DCB9-A672-4508-92A1-AE98008F4A2B,0,2022-05-17 08:41:42.000,2022-05-17 08:41:42.000,2023-05-03 20:59:05.000,1
EC70A651-E723-4F3E-9D0B-AE98008F4A2B,Elo crédito,Elo,1.95,Credito,1,12C6DCB9-A672-4508-92A1-AE98008F4A2B,0,2022-05-17 08:41:42.000,2022-05-17 08:41:42.000,2023-05-03 20:59:05.000,1
C816FAF2-530E-4D13-9F50-AE98008F4A2B,Sodexo crédito,Sodexo,2.09,Credito,31,12C6DCB9-A672-4508-92A1-AE98008F4A2B,0,2022-05-17 08:41:42.000,2022-05-17 08:41:42.000,2023-05-03 20:59:05.000,1
E43C8985-9C9B-4FA1-A10B-AE98008F4A2B,HIPERCARD,HIPERCARD,0.00,Credito,30,12C6DCB9-A672-4508-92A1-AE98008F4A2B,0,2022-05-17 08:41:42.000,2022-05-17 08:41:42.000,2023-05-03 20:59:05.000,1
,,,,,,,,,,,
(50 rows affected),,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Completion time: 2024-05-22T10:07:43.3188836-03:00,,,,,,,,,,,
