Id,idReducaoEmissao,IdProduto,ValorMedicao,idMedicaoOrigem,TipoMedicaoOrigem,ValorEstoque
8C2988B2-06AE-49A1-A341-0213A550474F,FFC9EB6A-6DDA-4EE2-882C-606DF32797F3,E7E17359-1BD5-4C26-A917-3FBDC6AA5980,293018.5800,47B04E86-82EC-4C6A-B3FD-9467133FB6C6,B,NULL
114DF770-7497-4490-8817-0F43C63487D7,FEAEC015-ADC8-4EB3-9B95-E7231D9DFDE1,E38EB314-3DEA-48A6-B394-0A58990AAD4E,1700096.4300,849D5741-2AF7-4101-8666-77D37BA78D8F,B,NULL
00FD7F67-4F85-4A98-91A5-11B1E35D5252,FEAEC015-ADC8-4EB3-9B95-E7231D9DFDE1,34D521B6-8059-43F3-A323-33E07B047301,500204.8600,414D4B50-8B8F-45C3-A3D8-D5B8F54A396D,B,NULL
DD9A6778-3D4B-4ECC-9D96-180F1E8F93C0,FEAEC015-ADC8-4EB3-9B95-E7231D9DFDE1,E38EB314-3DEA-48A6-B394-0A58990AAD4E,11961.0000,0F640799-5042-4737-BCC6-F4770E76A1C8,T,NULL
E77E7ECE-C80E-4CCD-9FA5-184A70D2A7BD,DB71A628-98B2-4FA5-BF27-AF64016B5C2E,E38EB314-3DEA-48A6-B394-0A58990AAD4E,169835.0900,E043C6EB-E132-47CC-A73F-EBBA8FDE70BB,B,0.0000
311FB8F7-6C11-4000-ABCC-192C11B7FF69,2A68DBA5-5525-4DE9-8785-B25A9EE84F99,E5EA6650-AB2E-4E2A-852C-B3C752AB255D,258401.4100,241A7A81-9DBB-45AA-AF19-0665686FF069,B,NULL
136B33C5-F654-4357-BB36-1A4F7117F86E,FFC9EB6A-6DDA-4EE2-882C-606DF32797F3,10F96AF6-1B76-4767-82A5-FCF8982A274D,21967.7100,18F8D3DA-B63D-4B17-B088-32FA27119C40,B,NULL
3ECB73B7-49F7-467E-A0E4-1A600B81379B,80C14F21-AC6E-48A5-92E1-AF63016B025D,865AF03C-79C5-4FA5-97AD-AF6300FBE384,806420.6100,B74C888D-19F7-418C-89C7-2F72BA54A5A8,B,0.0000
4F574550-2DC7-48F7-81E9-1A8272FB321D,FFC9EB6A-6DDA-4EE2-882C-606DF32797F3,E38EB314-3DEA-48A6-B394-0A58990AAD4E,1387750.9300,D9D43E1C-A3E7-403E-9CF6-71EDB28C5F42,B,NULL
22243AC7-6115-42D0-8E93-1DB4FA4BC028,FEAEC015-ADC8-4EB3-9B95-E7231D9DFDE1,E38EB314-3DEA-48A6-B394-0A58990AAD4E,1232881.0400,D9D43E1C-A3E7-403E-9CF6-71EDB28C5F42,B,NULL
A150A3CE-5098-49F0-8C10-1E081DCAC2E7,FFC9EB6A-6DDA-4EE2-882C-606DF32797F3,E38EB314-3DEA-48A6-B394-0A58990AAD4E,907012.4000,BF5DDDD4-2C62-4820-8863-1FB14583E6F0,B,NULL
DE1522B5-6360-4EDE-B8C4-1E8212B20684,2A68DBA5-5525-4DE9-8785-B25A9EE84F99,E38EB314-3DEA-48A6-B394-0A58990AAD4E,31050.0000,66B9F637-20A3-48D8-8740-62D14FBF50E8,T,NULL
24670C35-5D06-49CF-B1AF-1EEE1B22FD21,80C14F21-AC6E-48A5-92E1-AF63016B025D,865AF03C-79C5-4FA5-97AD-AF6300FBE384,169835.0900,E043C6EB-E132-47CC-A73F-EBBA8FDE70BB,B,0.0000
F796A8C9-C050-4BB4-A488-220ADB513AEA,FEAEC015-ADC8-4EB3-9B95-E7231D9DFDE1,34D521B6-8059-43F3-A323-33E07B047301,801789.7200,50E415FD-0568-4603-8DD0-042867590314,B,NULL
34C7AB44-465C-4438-9F3F-2DEE46A9A2D5,DB71A628-98B2-4FA5-BF27-AF64016B5C2E,E38EB314-3DEA-48A6-B394-0A58990AAD4E,99.3600,66B9F637-20A3-48D8-8740-62D14FBF50E8,T,99.0000
1A6B710D-0040-4309-B68F-3252395C92D1,2A68DBA5-5525-4DE9-8785-B25A9EE84F99,E38EB314-3DEA-48A6-B394-0A58990AAD4E,264387.4400,692DF5E6-FFB4-44EF-AEE3-472DD25252B1,B,NULL
ACE5DBF8-6F0B-4AED-93C1-33222D0777B0,FFC9EB6A-6DDA-4EE2-882C-606DF32797F3,10F96AF6-1B76-4767-82A5-FCF8982A274D,145820.9900,74FE3B90-6C89-4AB7-B999-07B3E2E8FE30,B,NULL
F5EC4008-22C3-438A-9416-3345ABD0FDED,2A68DBA5-5525-4DE9-8785-B25A9EE84F99,E38EB314-3DEA-48A6-B394-0A58990AAD4E,251583.6900,2A284B8A-4564-4090-9AB9-AA5CC36EE185,B,NULL
DD71BE4A-9452-4912-BBB6-45DFCFE920F8,2A68DBA5-5525-4DE9-8785-B25A9EE84F99,E5EA6650-AB2E-4E2A-852C-B3C752AB255D,252451.4400,D45005C5-2586-4CD9-8C50-4C78E96F6E9E,B,NULL
4148FA16-795A-4B76-BC24-4CCF24B3F248,FEAEC015-ADC8-4EB3-9B95-E7231D9DFDE1,E38EB314-3DEA-48A6-B394-0A58990AAD4E,1233504.7600,178C4BCC-B5BD-4C32-B609-945A6C3E374E,B,NULL
E644F09F-0810-4F49-A34D-4F2C5B51CA9B,2A68DBA5-5525-4DE9-8785-B25A9EE84F99,10F96AF6-1B76-4767-82A5-FCF8982A274D,882773.8900,EE251E45-C017-4D66-80B0-11ED824FDEDE,B,NULL
00C1E8E3-6D0F-4959-9BFA-511F17093127,FEAEC015-ADC8-4EB3-9B95-E7231D9DFDE1,E5EA6650-AB2E-4E2A-852C-B3C752AB255D,12360.0000,CFCE082B-B932-4CDF-93F5-45CF86F2FA58,T,NULL
0BB9C0DA-D656-46EC-B1F3-544307B4A24D,2A68DBA5-5525-4DE9-8785-B25A9EE84F99,34D521B6-8059-43F3-A323-33E07B047301,75465.3100,E521C3BF-65B6-41DB-B3A7-DD76B16C64FD,B,NULL
