Id,EstadoId,AliquotaIcms
E87339E9-7983-4DAB-BC0A-4064DD4D7A70,6E58E7AF-339A-487A-80F6-0F7E9DBB0A30,12
24BC5AF6-886E-4C57-B1E0-48A34C329227,27D0715B-E126-4013-805D-06BC05182AB9,7
F3AD4723-1B92-4459-BF1D-AC50CA8CEF9D,334F1B0E-7EB9-4682-8E52-E74ABDAB950F,12
70501638-D1F9-47A4-8BDC-10139CDB4281,9A7A55FB-1063-4218-9E73-1C085CEE6901,7
7BB61384-CFD3-49F7-A428-FB63FE4DB8D8,83E2A341-8AF9-4A7A-85C8-9A0DFD4D20FF,7
5AF419DD-E839-4A7D-AE1D-436EEE4E350A,4E1BBD67-BD06-4D66-99AA-EA8B376664D1,7
9CB5093D-10F6-42C6-9F0C-8F9B0CF4347E,F5DDBEE0-ECF6-4CDC-8784-5D91FDC95C46,7
78B2308C-5FBB-46F7-80FD-C92E89EB1AC5,B197B70D-1D21-44FA-B1F4-AD597264804A,7
E0EF4E2A-65B0-4E26-92E3-4B0B8EA08F99,9447D9EF-D8D5-4B79-97CE-2530AD3E2F49,12
C30ABDDB-EEAC-404F-8AFC-AF2F9BFE6F3A,D1CDAEAC-8707-4523-B582-76505AA287F8,7
2F9BD604-2406-4166-A1AF-18AF0B6DF537,4043DC77-34B7-46F3-8831-4FE18880B865,12
C3CCAEAF-3F38-44FE-B11B-64725428FDB7,202511B9-61E2-4828-99F9-9124BA183CE7,7
B1F06FD4-CE71-45E7-A2BC-5E5916137D59,85B90A0E-C282-423C-BD23-A826C7DA8E54,7
8DFB9B09-732E-4E75-8A8D-312F14E17BF9,EFCE05B5-BC73-4553-9C41-9BA11B1C5C1F,7
F71B97F6-8400-43D3-97A7-CB2B0E501669,C34E5945-1E12-4F87-B26B-F26B75B51C65,7
4CAFBFCD-59B8-487D-BACA-49B248323DC0,E541BDC0-6DEB-490F-B2B1-02DC6D54A02F,7
CDD7938B-555B-4268-84A8-EF77CABA078B,E23EFCED-1549-45A8-9589-8695812DBC72,7
DA3C7E64-E90E-47A6-B717-0F561A3683F1,90299E9F-2E78-4EA1-98BF-1BF955F27386,7
580D86A3-D4E2-426E-B5A1-44E8BCED5FF8,8C375610-E93F-4958-831F-95992235C542,12
683D0395-8A90-4AFC-A338-8C69A68137B6,6DEDB816-710E-405C-8BE8-70EAF1BEEF80,7
03C20783-2DB5-4FEB-8BE6-8DBCB9327439,F2DE9B6A-BF37-4A34-84E8-A7E160E7D591,7
8EC7C200-3FA2-4C43-961B-85EE4951DA6B,037EE6C9-4D78-41D2-B917-BC15F6B6B3CE,7
25A0602F-63BD-4C07-B28A-435FC80332DF,92434030-9B81-4FFC-98C8-6A522ED345DF,7
EC0A2E96-9CDE-4EBF-A7CC-28C2B5433AB2,D0645F1E-BF0F-46D1-8659-DE9869F23081,7
DE8A48B2-F96B-44D6-8A5E-4DFEFBC9D796,AA4F17E9-1AD9-420F-BBE9-B1C1BA7531F1,7
C8DF222D-C1D7-4102-99BD-A8C4773A36C9,033CC267-0567-4745-9CED-D032623CF449,12
B30F5CAF-2AD2-4CE0-9B8C-61265EF4FD67,1CB0E09E-F43D-41A1-838B-C2852D14D55D,7
