id,NumeroLacre,DataAplicacao,DataRemocao,NumeroBomba,IdPosto,IdDescontinuidadeEncerrante,Acao
38D780DE-4488-4441-AAA8-ABEC00F1F910,G7780462-7,2020-07-02 14:41:00,,1,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
910D72AA-D6DE-4BA9-8C6C-ABEC00F1F919,12772192-9,2020-07-02 14:41:00,,1,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
A67BFD9A-839C-4086-9640-ABEC00F1F91C,G7091092-3,2020-07-02 14:41:00,,1,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
428BA634-8DA6-4CFA-BC5F-ABEC00F23BCD,G2808406-8,2020-07-02 14:42:00,,2,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
D22F4586-10AF-4BBB-A295-ABEC00F23BD0,G3373886-4,2020-07-02 14:42:00,,2,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
CEE956F9-4CFF-4CF1-AD33-ABEC00F23BD3,13700509-6,2020-07-02 14:42:00,,2,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
478F0502-CD0B-4A71-B99B-ABEC00F27795,G2808460-3,2020-07-02 14:43:00,,3,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
0715C330-E847-4E72-861D-ABEC00F27797,G3373885-1,2020-07-02 14:43:00,,3,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
991B5835-D7BF-4DF9-B506-ABEC00F2779A,12772190-3,2020-07-02 14:43:00,,3,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
E25C0DEC-A4F5-48E9-A55A-ABEC00F3645B,G7091078-2,2020-07-02 14:46:00,,5,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
512BE3CB-89D4-4360-BEC5-ABEC00F3645E,12772188-1,2020-07-02 14:46:00,,5,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
BE5D02F2-6D53-41BA-AAB5-ABEC00F36461,G7091079-5,2020-07-02 14:46:00,,5,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
F2CB1EA1-B7B3-4506-8C15-ABEC00F36463,G33738639,2020-07-02 14:46:00,,6,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
804F1BA1-1017-473A-BBD2-ABEC00F36466,127721879,2020-07-02 14:46:00,,6,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
6E39746C-B060-49D5-BD1B-ABEC00F36468,G70910770,2020-07-02 14:46:00,,6,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
40499F46-FD76-4BD9-A468-ABEC00F3D947,G41271292,2020-07-02 14:48:00,,7,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
620F2739-FAD4-4E53-898F-ABEC00F3D94A,127721866,2020-07-02 14:48:00,,7,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
9597D183-D77C-44C5-BD20-ABEC00F3D94C,G1271280,2020-07-02 14:48:00,,7,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
C7808162-0750-437B-8EF7-ABEC00F3D94F,G2930725-9,2020-07-02 14:48:00,,8,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
39627486-8E52-45B1-B49E-ABEC00F3D952,G4127127-7,2020-07-02 14:48:00,,8,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
CD4D4089-6E06-48EE-8A33-ABEC00F3D955,137005118,2020-07-02 14:48:00,,8,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
F5E3CDF1-3E8E-46BA-9902-ABEC00F3D958,123163359,2020-07-02 14:48:00,,9,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
72746938-90A7-4459-BB1C-ABEC00F3D95A,127721849,2020-07-02 14:48:00,,9,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
3CD8D5BF-9A0B-47F2-BF4A-ABEC00F3D95D,G51019289,2020-07-02 14:48:00,,9,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
310F6999-D92D-4897-872F-ABEC00F3D960,G4127124-9,2020-07-02 14:48:00,,10,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
20BD09AA-EC26-4FCE-BAD8-ABEC00F3D962,127721838,2020-07-02 14:48:00,,10,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
5C98A8BA-051C-4179-B64C-ABEC00F3D965,G28084330,2020-07-02 14:48:00,,10,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
4A2F9BE8-4D6B-4EDD-B1A3-ABEC00F41F1E,G5101939-5,2020-07-02 14:49:00,,4,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
368574D8-649C-4FD9-97D5-ABEC00F41F20,1313700510-5,2020-07-02 14:49:00,,4,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
E965B3FA-D564-465D-9058-ABEC00F41F23,G5101940-4,2020-07-02 14:49:00,,4,6604EF36-5513-445C-86CF-A6F7C15CD5DE,,A
