Id,IdLocal,IdPosto
6AB15440-4993-4A41-AE35-AC7C009832FB,1EDF6F43-B496-4838-B710-7C4E37677C22,A94EB478-1BCF-4A4E-9039-0748EC51BBE0
F724DD76-6FFE-4B92-9C9A-AC7C00983309,95371544-3A72-4C66-82C5-A1362665D6DD,A94EB478-1BCF-4A4E-9039-0748EC51BBE0
4B99587B-CDEC-4712-9BA9-AC7C00983313,FAF5003B-679A-4345-91E7-4DC50E4513F9,A94EB478-1BCF-4A4E-9039-0748EC51BBE0
1CBD6913-A20C-4B76-ABB3-AC7C00983321,7D7823EE-C78B-4B1B-803B-033F5D8E0450,A94EB478-1BCF-4A4E-9039-0748EC51BBE0
392303E2-F52A-4706-8B1A-AC7C0098332A,1BFA0F19-BD46-474E-8CD5-CC64A7BF6E3C,A94EB478-1BCF-4A4E-9039-0748EC51BBE0
4C8A4102-7ED9-4AD2-BD93-AC7C00983338,32FFD79A-ED9E-4AB0-826D-070D5A6634BD,A94EB478-1BCF-4A4E-9039-0748EC51BBE0
E6545234-B2C8-4A86-84B9-AC7C00983341,EC4B6AB8-D013-4C09-B15B-D9F4C853CC62,A94EB478-1BCF-4A4E-9039-0748EC51BBE0
34456AAA-935A-45D7-8264-AC7C00983350,FB96FB71-E8B9-42ED-B5D1-022874C8ED65,A94EB478-1BCF-4A4E-9039-0748EC51BBE0
609DA881-9679-4E75-A5E8-AC7C00983359,A48DF81E-367B-476B-9DBF-7ED05D3463E4,A94EB478-1BCF-4A4E-9039-0748EC51BBE0
FD9FDF53-DDFE-478E-B94B-AC7C00983362,4C244BEA-3818-4DD8-A2F4-C329854D1BD2,A94EB478-1BCF-4A4E-9039-0748EC51BBE0
B44BD6AE-BA45-47AA-BA2D-AC7C00983370,68762AAF-02E2-446D-B646-8EB42582B9F2,A94EB478-1BCF-4A4E-9039-0748EC51BBE0
43AFA0F0-E306-44F0-B3C9-AC7C0098337A,A1F87EE1-C3AF-4294-88CE-AC36012A7801,A94EB478-1BCF-4A4E-9039-0748EC51BBE0
5297E656-13A4-4296-9225-AC7C00983388,22674988-9469-418F-94E6-91D5A3A23925,A94EB478-1BCF-4A4E-9039-0748EC51BBE0
D2D614EC-5EF2-4BDD-8FCF-AC7C00983391,8BFDD424-D556-4B10-A1CC-954797BE2C3B,A94EB478-1BCF-4A4E-9039-0748EC51BBE0
623339C3-CD99-4B49-AA00-AC7C0098339B,2771029C-38E9-449B-8643-0EF9E074A567,A94EB478-1BCF-4A4E-9039-0748EC51BBE0
AEDC19D2-559E-49CC-A8E6-AC7C009833A9,2F32883A-61FD-45D4-9A2E-762D81222C98,A94EB478-1BCF-4A4E-9039-0748EC51BBE0
8BA1EB25-5DC2-4556-BA40-AC7C009833B2,95371544-3A72-4C66-82C5-A1362665D6DD,2F278A05-2711-43BE-A8CC-6A12CB8B2133
D3945754-7AD0-47F8-8F84-AC7C009833C0,FAF5003B-679A-4345-91E7-4DC50E4513F9,2F278A05-2711-43BE-A8CC-6A12CB8B2133
E5093D4C-68A9-4898-93EB-AC7C009833CE,A48DF81E-367B-476B-9DBF-7ED05D3463E4,2F278A05-2711-43BE-A8CC-6A12CB8B2133
DEADBCEC-36B0-4CF3-8113-AC7C009833E6,481107F8-BE3A-48CF-AA38-487B6570C710,2F278A05-2711-43BE-A8CC-6A12CB8B2133
62E77650-AD28-4CAA-A84D-AC7C00983402,916EF728-9F2B-49AA-9A4C-705ED4C6E7CB,2F278A05-2711-43BE-A8CC-6A12CB8B2133
96BDDB8F-4816-4062-BE76-AC7C00983414,1DAE6601-5EFB-41AB-9BFA-C5F8962C2884,2F278A05-2711-43BE-A8CC-6A12CB8B2133
D6E93158-69B9-42A1-AACB-AC7C0098342C,68762AAF-02E2-446D-B646-8EB42582B9F2,2F278A05-2711-43BE-A8CC-6A12CB8B2133
2E0C08FD-F58F-4832-A232-AC7C0098343A,A1F87EE1-C3AF-4294-88CE-AC36012A7801,2F278A05-2711-43BE-A8CC-6A12CB8B2133
4B961208-DFE5-4EA1-BF94-AC7C00983443,22674988-9469-418F-94E6-91D5A3A23925,2F278A05-2711-43BE-A8CC-6A12CB8B2133
0957CCA7-47E6-43B9-B7C9-AC7C00983451,8BFDD424-D556-4B10-A1CC-954797BE2C3B,2F278A05-2711-43BE-A8CC-6A12CB8B2133
2F771216-DC93-42FE-A348-AC7C0098345B,2771029C-38E9-449B-8643-0EF9E074A567,2F278A05-2711-43BE-A8CC-6A12CB8B2133
BE6B66D1-4CC4-4FC8-9C50-AC7C00983469,2F32883A-61FD-45D4-9A2E-762D81222C98,2F278A05-2711-43BE-A8CC-6A12CB8B2133
1BB793EA-F2A8-48C2-B4B8-AC7C00983477,BABA237E-7399-4102-BE38-A61F53B6DF70,2F278A05-2711-43BE-A8CC-6A12CB8B2133
2513054C-0F60-4411-9B68-AC7C00983480,26AF7EC3-4C01-414D-933A-0C79CA5AD6D5,2F278A05-2711-43BE-A8CC-6A12CB8B2133
B83F8461-DCF7-485A-81FE-AC7C0098348E,95371544-3A72-4C66-82C5-A1362665D6DD,D3FC958D-6348-4012-8853-0357B35D2283
9290914C-C2A3-4951-BE54-AC7C0098349C,FAF5003B-679A-4345-91E7-4DC50E4513F9,D3FC958D-6348-4012-8853-0357B35D2283
B59B8700-8A27-4FB4-8673-AC7C009834AA,A48DF81E-367B-476B-9DBF-7ED05D3463E4,D3FC958D-6348-4012-8853-0357B35D2283
C16E8EFF-A5D6-4E43-B3A6-AC7C009834B8,481107F8-BE3A-48CF-AA38-487B6570C710,D3FC958D-6348-4012-8853-0357B35D2283
E09EB8FD-F32B-4BDA-9B4F-AC7C009834C7,916EF728-9F2B-49AA-9A4C-705ED4C6E7CB,D3FC958D-6348-4012-8853-0357B35D2283
9F8F6220-BAB1-4FDC-9C06-AC7C009834D9,68762AAF-02E2-446D-B646-8EB42582B9F2,D3FC958D-6348-4012-8853-0357B35D2283
5B73E08F-BC05-492B-8303-AC7C009834E3,A1F87EE1-C3AF-4294-88CE-AC36012A7801,D3FC958D-6348-4012-8853-0357B35D2283
745D7EA8-6122-4104-A9F8-AC7C009834F1,22674988-9469-418F-94E6-91D5A3A23925,D3FC958D-6348-4012-8853-0357B35D2283
BF136A8B-C23C-4078-931F-AC7C009834FF,8BFDD424-D556-4B10-A1CC-954797BE2C3B,D3FC958D-6348-4012-8853-0357B35D2283
51426EF9-4178-47B9-AB7D-AC7C00983512,2771029C-38E9-449B-8643-0EF9E074A567,D3FC958D-6348-4012-8853-0357B35D2283
78AB10E9-E88C-4698-8835-AC7C00983520,2F32883A-61FD-45D4-9A2E-762D81222C98,D3FC958D-6348-4012-8853-0357B35D2283
DD0124A5-58CD-4292-A051-AC7C0098352E,BABA237E-7399-4102-BE38-A61F53B6DF70,D3FC958D-6348-4012-8853-0357B35D2283
6ABA9637-E717-49D0-911D-AC7C0098353C,26AF7EC3-4C01-414D-933A-0C79CA5AD6D5,D3FC958D-6348-4012-8853-0357B35D2283
